id,name,batch,batch_code,batch_order,one_liner,industry,subindustry,tags,yc_profile_url,batch_size,is_partial_batch,category,confidence,reason,chunk,category_first_pass,review_note,reviewed,full_stack_ai,caption
12286,1910,Winter 2019,W19,20190,Multimodal AI Platform for Modality Agnostic Drug Discovery™,Healthcare,Healthcare -> Therapeutics,AI-powered Drug Discovery,https://www.ycombinator.com/companies/1910,194,False,ai_other,medium,"AI-native biotech doing its own drug discovery, not a customer-facing service firm",chunk_00,ai_other,,False,False,other AI
12252,54Gene,Winter 2019,W19,20190,Precision medicine for Africans and the global population,Healthcare,Healthcare -> Consumer Health and Wellness,Genomics,https://www.ycombinator.com/companies/54gene,194,False,not_ai,medium,Genomics research/services company; no AI stated,chunk_00,not_ai,,False,False,not AI
12006,AI Insurance,Winter 2019,W19,20190,AI Insurance is the platform that runs insurance companies,Fintech,Fintech -> Insurance,Artificial Intelligence|Insurance,https://www.ycombinator.com/companies/ai-insurance,194,False,sells_ai_to_industry,high,"Platform insurance companies use to run their business, not operated by AI Insurance itself",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12260,AXDRAFT,Winter 2019,W19,20190,"AXDRAFT helps corporations draft, negotiate and approve documents 10x…",B2B,B2B -> Legal,Machine Learning|SaaS|LegalTech,https://www.ycombinator.com/companies/axdraft,194,False,sells_ai_to_industry,high,"Legal document drafting software sold to corporations, not a law firm",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12344,Accept.inc (formerly BoardRE),Winter 2019,W19,20190,BoardRE is a new type of mortgage company that upgrades any offer…,Fintech,Fintech -> Credit and Lending,Fintech|Real Estate,https://www.ycombinator.com/companies/accept-inc,194,False,full_stack_non_ai,medium,Acts as intermediary buyer of homes itself; no AI mentioned,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
12242,AccioJob,Winter 2019,W19,20190,Offline-first tech skilling and placement for India,Education,Education,Education|Recruiting|Edtech,https://www.ycombinator.com/companies/acciojob,194,False,full_stack_non_ai,medium,Runs its own physical skill centres and placement; no AI doing core work,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
11990,Adventurous Co,Winter 2019,W19,20190,Disney meets Airbnb Experiences,Consumer,Consumer -> Virtual and Augmented Reality,Travel,https://www.ycombinator.com/companies/adventurous-co,194,False,unclear,low,"One-liner only, description empty",chunk_00,unclear,,False,False,unclear
11935,AllSome Fulfillment,Winter 2019,W19,20190,Fulfillment platform to build Southeast Asia e-commerce operations,B2B,B2B -> Supply Chain and Logistics,Warehouse Management Tech|B2B|AI,https://www.ycombinator.com/companies/allsome-fulfillment,194,False,not_ai,low,Fulfillment platform for sellers to self-run ops; AI tag but undescribed,chunk_00,not_ai,,False,False,not AI
11923,Allo,Winter 2019,W19,20190,Allo is an app that helps neighboring families meet and help each…,Consumer,Consumer -> Social,Community,https://www.ycombinator.com/companies/allo,194,False,not_ai,medium,Consumer social app for neighboring families; no AI,chunk_00,not_ai,,False,False,not AI
12271,Allure Systems,Winter 2019,W19,20190,A.I. to create stunning fashion images for eCommerce. ,B2B,B2B -> Retail,Generative AI|Computer Vision|E-commerce|AI,https://www.ycombinator.com/companies/allure-systems,194,False,sells_ai_to_industry,high,"Generative AI images sold to fashion retailers, not operating retail itself",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
